Response ID:,Submitting author name:,Proposal title:,Background/Rationale: ,Study aims/Hypothesis: ,Study variables: ,Proposed analysis:,Significance of research:
OND20190603CF,Corinne Fischer,Determining the Association of Neuropsychiatric Symptoms with Neurodegenerative Disease Biomarkers using the ONDRI platform,"Neurodegenerative diseases pose a great burden to patients, caregivers and health care providers. Unfortunately, there are limited methods to alleviate symptoms or halt the progression of the disease. Neuropsychiatric symptoms (NPS) are common in this population. These include hallucinations, delusions, paranoia, aggressive behaviours, apathy and other psychotic symptoms that occur in many neurodegenerative conditions. In spite of the frequency of NPS, the underlying mechanisms and association with neurodegenerative/genetic biomarkers across disorders is unclear, thus limiting treatment options.  ","In this study, we will evaluate the association of NPS with neurodegenerative disease/genetic biomarkers across multiple disorders.  We predict that common associations between NPS domains and neurodegenerative/genetic biomarkers will occur across disorders.  ","APO-E 4, C9orf72 repeats, NeuroRx SNP, ONDRI seq, demographics, medications, adverse events, UPDRS, questionnaires, NPI, cognitive test battery.  ","Our project will include longitudinal and cross-sectional analysis of biomarker data, combined with clinical outcomes and its relation to NPS and associated domains. The study cohort consists of participants enrolled in Ontario Neurodegenerative disease Research Initiative (ONDRI) Brain-Code database, which includes patients with Alzheimer's Disease (AD), Vascular Cognitive Impairment (VCI), Parkinson's Disease (PD) and Frontotemporal Dementia (FTD). These cohorts will be categorized using baseline data of demographics, NPS measures from NPI-Q scores, cognitive test scores, neuropathology data (where available) and genetic data.   Analysis will include standard univariate null-hypothesis testing along with multivariate predictive modeling. Univariate testing will include baseline comparisons between NPS+ and NPS- groups. Longitudinal analysis will be conducted using linear mixed-effects models. Using multivariate data fusion techniques, such as canonical correlation analysis and partial least squares, both at baseline and longitudinally, associations between these cohorts will be extracted. Lastly, the ability of investigated biomarkers to predict NPS+ and NPS- groups and long-term functional outcome will be done using predictive generalization.   ",Identifying target biomarkers of NPS and predicting its relation to disease progression will be a crucial step in the research of neurodegenerative diseases. A more comprehensive understanding of the pathological features underlying NPS may provide important insights in diagnosis and treatment options as well.
OND20190604CF,Corinne Fischer,Determining the imaging correlates of Neuropsychiatric Symptoms across the ONDRI neurodegenerative disease platform,"Neuropsychiatric symptoms (NPS) are frequently seen in neurodegenerative disorders including Alzheimer 's disease (AD), Vascular dementia, Frontal-temporal dementia (FTD), dementia with Lewy bodies (DLB) and Parkinson's Disease related dementia (PD). NPS are a major risk factor for institutionalization, and are associated with numerous adverse outcomes.  Research to date suggests that NPS are associated with structural and functional brain changes which can be seen through various imaging techniques. ","The objective of this study is to investigate the association between NPS domains and neuroimaging data using the ONDRI data set. We will examine both baseline and longitudinal data and adjust our findings based on NPS severity, cognition and function. We hypothesize that the presence of NPS will be associated with increased rates of grey matter volume loss, increased white matter lesion burden and reduced functional connectivity across disorders.  ","Clinical data (demographics, vital signs, medical history, medication list, adverse events, UPDRS, questionnaires, MoCA score), Cognitive (cognitive test battery, NPI), Neuroimaging (structural T1 and T2 weighted scans, FLAIR, diffusion weighted scans, resting state fMRI)","This project will include longitudinal and cross-sectional analysis of neuroimaging and clinical data. The study cohort consists of participants enrolled in Ontario Neurodegenerative disease Research Initiative (ONDRI) Brain-Code database, which includes individuals with Alzheimer's Disease (AD), Parkinson's Disease (PD), Vascular Cognitive Impairment (VCI) and Frontotemporal Dementia (FTD). These cohorts will be further subdivided according to demographics, NPS measures from NPI-Q scores, and cognitive test scores (MMSE and MoCA).   Analysis:   We will test for significant differences in functional connectivity, white matter lesion burden and grey matter volume, by performing voxelwise paired-measures analysis of baseline vs. follow-up values, for all patients, with bootstrap confidence bounds. In addition, we will perform voxelwise GLM analysis on the longitudinal changes, regressing longitudinal changes in functional connectivity and grey matter volume against measures of cognition, function and NPS total score and severity adjusting for confounders.  Due to the requirement of integrating large-scale neuroimaging and clinical data, we will draw from our established expertise in neuro-informatics. This includes a well-validated software infrastructure to be used for quality control, image processing, and analysis of large, multi-modal datasets.  ",Identifying the morphological brain changes preceding or associated with NPS may be useful in further characterizing associated brain mechanisms.  This information may lead to the development of more effective treatments for NPS.      
OND20190612AD,Allison A. Dilliott,Rare variations detected in the Ontario Neurodegenerative Disease Research Initiative dataset,"Genome-wide association studies (GWAS) have identified common single nucleotide polymorphisms (SNPs) that contribute to neurodegenerative disease risk (1-3). Due to each SNP's individually small effect to increase disease risk, common genetic variation identified through GWAS (4-6) cannot fully explain disease presentation. Importantly, GWAS are unable to identify rare single nucleotide variants (SNVs) or copy number variants (CNVs), which contribute larger effects and associations to disease risk and may account for some of this missing heritability.   Next-generation sequencing (NGS) is an efficient sequencing approach that maximizes genetic information while minimizing costs. Unlike arrays that only target specific genomic coordinates, NGS sequences full genomic regions, allowing rare SNV identification (7, 8). Specifically, targeted sequencing with a custom designed panel focuses on selected exons, introns, or intergenic regions of interest. Therefore, this can be a cost-effective approach when a subset of genes are known, or predicted to be, associated with a particular disease, as is the case for neurodegeneration. ONDRISeq is a targeted NGS panel custom designed specifically for the purposes of ONDRI and covers 80 genes associated with the five neurodegenerative diseases under study (9). The panel will allow for the identification of rare SNVs, and CNVs in the genes of interest, thereby further elucidating the complex genetic landscape of neurodegenerative diseases.","In a series of publications, we aim to identify rare genetic variation in the genomic DNA of 519 ONDRI participants that is known or is likely to be contributing to disease and compare the burden of these variants to an age-matched neurologically normal control cohort. More specifically we have three aims:  1.	Identify rare, non-synonymous SNVs known, or predicted, to have a large phenotypic effect in 80 genes known to be associated with neurodegenerative disease encompassed on the ONDRISeq panel and encompassed by the NeuroX array.  2.	Identify large-scale CNVs in 80 genes known to be associated with neurodegenerative disease encompassed on the ONDRISeq panel and repeat expansions within the C9orf72 gene.  3.	Assess the burden of rare, non-synonymous variation in the participants' genomic DNA within each ONDRI cohort compared to a cognitively normal control cohort.   We hypothesize that ONDRI participants will harbour either rare SNVs of probable clinical significance or large-scale CNVs, or both. We expect to identify overlapping rare genetic factors contributing to the five phenotypes encompassed by ONDRI's mandate. Further, we hypothesize that ONDRI participants will have a significantly greater rare variant burden in the genes sequenced by ONDRISeq than that of the control cohort.  ","Genomics:  ONDRISeq sequencing data  NeuroX data  Clinical:   Demographic data (age, sex)  Family health history (possibly used if Mendelian variants are found)  Disease specific measures (AD versus MCI; FTD subtypes)    ","The variant annotation software, VarSeq® (Golden Helix, Bozeman, MT, United States), is used to annotate the SNVs identified in each participant including minor allele frequency (MAF) from human reference populations, in silico prediction scores of protein consequence, and previous disease association. VCF and BAM files will be imported into VarSeq® and participants' variants will be prioritized by selecting for SNVs non-synonymous in sequence ontology, with a MAF of ≤ 1%. SNVs are then further prioritized based on in silico prediction score to identify variants likely damaging to protein function and their absence from the Healthy Exomes database. These SNVs are hereafter referred to as rare SNVs of probable clinical significance.  VarSeq® will also be used to identify CNVs within the ONDRISeq data. Previously, detecting CNVs in NGS was tedious, with many algorithms calling false positives (10). VarSeq's CNV Caller tool uses normalized depth of coverage analysis to reliably identify large-scale duplications or deletions. Any CNV identified in an ONDRI participant will be confirmed with Sanger sequencing and/or the CytoScan™ HD Array (Thermo Fisher Scientific, Waltham, MA, United States).  Rare variant association analysis (RVAAs) burden testing will be used to investigate whether an increased frequency of individuals possess rare SNVs of probable clinical significance detected by ONDRISeq in the disease cohorts compared to the controls. This will first be performed based on rare SNVs of probable clinical significance in any gene covered by the ONDRISeq panel harboured by the participants. Then the genes included on the ONDRISeq panel will be categorized based on their disease association. The genes associated with AD/MCI, ALS, FTD, and PD will be further categorized based on their degree of association with the disease including primary genes, such as those identified in OMIM to contribute to the respective disease presentation with a mendelian inheritance pattern, and secondary genes, for which more evidence may be needed to confirm genetic association with disease. RVAA burden analyses are then repeated for each cohort using these gene categories. Additionally, the optimal unified Sequence Kernel Association Test (SKAT-O) within the SKAT R package will allow for combinational RVAAs (11). SKAT-O will be used to identify genes sequenced by the ONDRISeq panel with a significantly greater burden of SNVs in affected individuals compared to controls. The analysis may also identify high SNV burden in genes that have been previously associated with a neurodegenerative disease that is distinct to that of the cohort being analyzed.  ","This analysis will provide a greater understanding of the genetic contribution of rare variants to the five neurodegenerative diseases under study. Further, by identifying genes, or groups of genes, with greater burdens of rare variants, particularly if there is greater burden across multiple disease phenotypes or in phenotypes not previously associated with the genes, we may identify genetic factors contributing to overlapping features of disease. This analysis will also allow us to bin participants based on their rare genetic variation and perform future multivariate analyses incorporating the data from other ONDRI platforms to identify features of disease that are genetically influenced. Ultimately, this work will contribute to acquiring a more complete view of the genetic landscape of neurodegeneration and may guide the development of clinically useful sequencing-based early diagnosis and progression prediction tools and possibly of novel therapeutic approaches.    References:  1.	Nalls MA, Pankratz N, Lill CM, et al. Large-scale meta-analysis of genome-wide association data identifies six new risk loci for Parkinson's disease. Nat Genet. 2014;46(9):989-93.  2.	Lambert JC, Ibrahim-Verbaas CA, Harold D, et al. Meta-analysis of 74,046 individuals identifies 11 new susceptibility loci for Alzheimer's disease. Nat Genet. 2013;45(12):1452-8.  3.	Simon-Sanchez J, Schulte C, Bras JM, et al. Genome-wide association study reveals genetic risk underlying Parkinson's disease. Nat Genet. 2009;41(12):1308-12.  4.	Keller MF, Ferrucci L, Singleton AB, et al. Genome-wide analysis of the heritability of amyotrophic lateral sclerosis. JAMA Neurol. 2014;71(9):1123-34.  5.	Ridge PG, Mukherjee S, Crane PK, Kauwe JS. Alzheimer's disease: analyzing the missing heritability. PLoS One. 2013;8(11):e79771.  6.	Singleton A, Hardy J. The Evolution of Genetics: Alzheimer's and Parkinson's Diseases. Neuron. 2016;90(6):1154-63.  7.	Mardis ER. DNA sequencing technologies: 2006-2016. Nat Protoc. 2017;12(2):213-8.  8.	Metzker ML. Sequencing technologies - the next generation. Nat Rev Genet. 2010;11(1):31-46.  9.	Farhan SMK, Dilliott AA, Ghani G, et al. The ONDRISeq panel: custom-designed next-generation sequencing of genes related to neurodegeneration. NPJ Genom Med. 2016(16032):1-11.  10.	Iacocca MA, Wang J, Dron JS, et al. Use of next-generation sequencing to detect LDLR gene copy number variation in familial hypercholesterolemia. J Lipid Res. 2017;58(11):2202-9.  11.	Lee S, Emond MJ, Bamshad MJ, et al. Optimal unified approach for rare-variant association testing with application to small-sample case-control whole-exome sequencing studies. Am J Hum Genet. 2012;91(2):224-37.    "
OND20190626JP,Jessy Parokaran Varghese,Towards standardization of clinical quantitative posturography: the effect of stance width and vision on balance control in people with neurodegenerative disorders,"Measures of postural sway provide an integrated measure of the central nervous system (CNS) control of the body and may well serve as a potential biomarker of neurodegenerative disease and progression (Shumway-Cook & Woollacott, 2001). In spite of the potential importance, standards for clinical assessment of balance using quantitative posturography do not currently exist.                                            A critical matter in the development of assessment standards is the challenge of the balance task which can be easily influenced by the size of the base-of-support (e.g. stance width) and the availability of visual information. Previous studies have shown that stance width influences balance control in healthy adults and in other populations such as those with functional ankle disability, unilateral hip arthritis, multiple sclerosis, and spinocerebellar ataxia (Day et al., 1993; Ramdharry et al., 2009; Bunn et al., 2013; Chang et al., 2009, 2015). In these populations, postural instability has been shown to increase with decreasing stance width. In addition, there have been a few studies reporting increased postural instability in people with Parkinson's disease compared to healthy older adults when the base-of-support is reduced (Błaszczyk and Orawiec, 2011; Ickeinstein et al., 2012; Almeida et al., 2016). Conversely, no difference in postural stability was reported among Parkinsonian patients and healthy older adults during a two-legged stance with feet comfortably spaced apart (Termoz et al., 2008; Tsutiya et al., 2011).                                            Vision is an important source of sensory input that minimizes postural sway and may be easily manipulated during clinical assessments to discriminate standing balance ability. Clinical assessments have tested the ability of people to use visual information to identify deficits in balance control related to aging or caused by neurodegenerative diseases such as Alzheimer's disease, Parkinson's disease or multiple sclerosis (Chong et al., 1999). Balance impairments in clinical populations have been extensively evaluated through standing balance tasks involving eyes open and eyes closed conditions. Increased body sway of older adults has been observed in an eyes closed condition compared to young adults (Jamet et al., 2007; Day et al., 1993; Paulus et al., 1984). However, visual contribution to balance control seems to differ among people with neurodegenerative diseases (Gago et al., 2015; Chong et al., 1999). For instance, people with Alzheimer's disease did not increase their body sway when vision was absent in normal stance (Chong et al., 1999) but did increase ML sway while standing in feet together position compared to a control group (Gago et al., 2015). People with Parkinson's disease presented higher variations in center of pressure under an eyes closed condition indicating visual dependence (Lahr et al., 2015) but when visual information was available, they did not reduce their postural instability as expected (Paulocci et al., 2018).                                                  The inconsistency of these findings could be related to the use of different measures to quantify or characterize balance. In order to standardize clinical posturography, it is necessary to determine whether stance width and visual condition (eyes open and eyes closed) can be used to describe and discriminate static balance impairments in clinical populations.  ","The aim of the study is to examine the effect of stance width and vision in static balance control in people with neurodegenerative diseases to determine if increased challenge, either in stance width and/or availability of visual input reveals increased dyscontrol (increased relative sway). A related objective is to investigate whether there exists any correlation between balance conditions. In other words, does a simple task predict the more challenging task which would have an impact on the selection of a standardized task protocol?","Demographic data, clinical measures, and parameters extracted from balance data of all ONDRI participants.","Summary statistics, ANOVA (to compare each balance measure of patients in different cohorts and across task conditions within cohorts), correlation analysis and multivariate regression (to examine balance measures between narrow and standard stances).","Given the distributed CNS control of balance, there is the potential that balance control may serve as a sensitive biomarker of neurodegenerative disease.  Currently, the lack of standardization of balance testing and control of task challenge is a barrier to understanding the potential link to disease. The results of this study will guide recommendations regarding the standardization of quantitative clinical balance testing to assess CNS status associated with neurodegenerative disease."
OND20190626PFP,Paula Favaro Polastri,The relationship between neurodegenerative disease severity and balance control,"There are several clinical, biochemical, neuroimaging, and genetic biomarkers developed for neurodegenerative diseases. However, their specificity and sensitivity are different when applied individually. Measures of postural sway have been used to infer about the progression and severity of neurodegenerative diseases. For instance, complexity of postural sway fluctuations as measured by 'complexity index' has been suggested to be a clinical marker of functional decline and a tool for monitoring the disease onset progression in patients with Fragile X Associated Tremor/Ataxia Syndrome (O'Keeffe et al., 2018). Similarly, postural centre of pressure (COP) sway parameters, specifically medio-lateral (ML) sway measures, were able to detect disease progression better than UPDRS scores in untreated Parkinsonian patients (Mancini et al., 2012). Objective measures of postural sway such as ML sway jerkiness, sway dispersion (root mean square (RMS) relative to the mean), sway velocity, and sway frequency increased over a one year period suggesting progressive deterioration in balance control whereas minimal changes were observed in UPDRS motor scores in these patients (Mancini et al., 2012). In addition, velocity, total distance, amplitude and frequency of COP sway have been related to disease severity in individuals with Parkinson's disease (Godinho et al., 2016). Research in mouse models of neurodegenerative diseases has also revealed the potential use of COP sway measures to detect the onset of disease or therapeutic effectiveness (Hutchinson et al., 2007). These results support the potential for postural sway measures to be used as a biomarker of disease severity but little research has been conducted to explore these relationships across neurodegenerative disorders.","This study aims to determine the potential utility of using measures of static balance control as a marker of health of the central nervous system, especially whether balance control measures could serve as a potential biomarker of neurodegenerative disease severity. This study also aims to perform a comparative analysis of static balance control measures among people with various neurodegenerative diseases and whether there exists any correlation between balance measures and disease severity.","Demographic Data (age, sex, weight, height, body mass index, diagnosis, cognitive status, education), clinical information (MoCA, MDS-UPDRS, Modified Rankin Scale, Disease specific measures, Participant healthy history, concomitant medications, Mobility scales) and center of pressure (COP) parameters (root mean square COP sway in medial-lateral (ML) and anterior-posterior (AP) directions, path length (ML and AP), average COP velocity (ML and AP), mean frequency (ML and AP), Radial average, and Area 95) extracted from balance data for all ONDRI participants.","Summary statistics, ANOVA (to compare each balance measure of patients in different cohorts and across task conditions within cohorts), correlation analysis and multivariate regression (to examine balance measures between narrow and standard stances and associate relationship with disease severity, motor impairment, and age).",Identifying accurate biomarkers for early detection of neurodegenerative diseases and their progression will help to develop new clinical interventions and treatments that could prevent or slow disease progression and provide the best care for people living with neurodegenerative disease.
OND20190712DB,Derek Beaton,Relationship between caregiving burdens and clinical characteristics in the Ontario Neurodegenerative Disease Research Initiative (ONDRI),"Persons living with neurodegenerative disorders or dementia are often cared for by informal caregivers (e.g., family, friends) Informal caregivers experience various types of stress and strain and few studies have parsed the multidimensional aspects of caregiving burdens across multiple neurodegenerative disorders. Doing so is important for informing both general and disease-specific caregiver education and training programs, as well as the overall health and well-being of patients and Caregivers. Within the ONDRI study, we examined data from the Zarit Burden Inventory from study partners of participants across five neurodegenerative disorders.   ","(1) Identify factors of caregiving burdens and the relationships with cognition and demographics, (2) Identify the co-factors of caregiving burdens and neuropsychiatric symptoms and activities of daily living.","NPSY: Cognitive (minimum; domains), neuropsychiatric inventory, instrumental/activities of daily living  CLIN: DEMOG, MOCA, DHX, Zarit's  ","(1) (a) Correspondence analysis (akin to PCA for categorical or ordinal data) on the Zarit's to identify the factors of caregiving burden, and (b) correlations between/group analyses of the identified factors of caregiving burdens and cognition (as measured by the NPSY cognitive domains) and generally demographics (e.g., age, sex, partner type, cohort); and (2) a partial least squares-correspondence analysis between the Zarit's and the neuropyschiatric inventory + instrumental/activities of daily living.","By 2020 we expect a two-fold increase in the number of  persons living with neurodegenerative disorders or dementia, which places an eight-fold increase in health-care and caregiving related costs. By identifying these types of and contributions to caregiver burden, we can better inform resource allocation and health policy initiatives. ONDRI is well positioned to help identify types of caregiving burdens across a variety of neurodegenerative disorders through longitudinal analyses and in conjunction with a variety of biological, neural, cognitive, and behavioral measures.  "
OND20190724MM,Manuel Montero-Odasso,"Apoe-4, Gait  Impairments, and WMH  across Neurodegenerative Disorders From ONDRI","The Apolipoprotein allele 4 (Apoe-4) can affect lipids metabolism consequently causing White Matter lesions also identified as White Matter Hyperintensities (WMH) in the brain. Higher WMH burden and the Apoe-4 genotype are both indicators of low cognitive performance, higher risk of Alzheimer's Disease dementia and more recently both risk factors were associated with gait impairments among older adults without neurodegenerative disorders. Gait impairments are highly prevalent in neurodegenerative disorders, and they have been used as a predictor of adverse outcomes. We previously demonstrated in older adults with MCI that those who have 2 alleles of the Apoe-4  gene presented impairment in gait performance (JGMS). However, it is still unknown to what extent the Apoe-4 genotype contributes to gait impairments, including slow gait, across neurodegenerative disorders. In addition, it is unknown whether the relationship between Apoe-4 status and gait performance is mediated by WMH burden in these individuals.  ","Presence of Apoe-4 genotype will be more prevalent in slow walkers than non-slow walkers in all neurodegenerative disease cohorts from ONDRI. This association will be mediated by higher WMH burden, which is evident in individuals with significant cognitive impairment compared with those without significant cognitive impairment due to the well-known association between gait and cognition.　 ","Cross-sectional study using ONDRI variables. Main outcome measures will be Apoe-4 testing, gait speed under single and dual-task conditions, global cognition, and WMH.  Demographics and clinical data including genotypes, disease severity scales, NIH stroke scale, MoCA, medications and number of comorbidities. Neuropsychological data including executive function and memory tests will be used to determine sub-types of cognitive decline of individuals (e.g. amnestic or non-amnestic subtypes). All collected from AD/MCI, ALS, FTD, PD and VCI cohorts in ONDRI. ","Mediation analysis using linear regression models applied to each ONDRI cohort. WMH will be entered as the mediator factor of associations between Apoe-4 status and gait performance. In this case, sub-group analysis stratified by individuals with and without significant cognitive impairments will also be performed. Models will be adjusted by age, sex, years of education, global cognition and number of comorbidities. ","This study is an attempt to provide empirical evidence that impaired gait performance in neurodegenerative disorders is a behavioral expression of an individual's genotype, irrespective of neurodegenerative disorders. Further, the findings of this study can facilitate the understanding of underlying neural mechanism of the relationship between Apoe-4 and slow gait in individuals at risk of dementia. Results from this study have important practical clinical implications since gait assessment is inexpensive and quickly done in virtually any clinical set up. "
OND20190808CM,Connie Marras,Genetics determinants of cognitive profile in PD,"ognitive deficits in PD are highly variable in severity and progression.  Mild cognitive impairment in PD is highly prevalent and also variable in profile. PD-MCI has been classified according to the cognitive domains affected, and has also been subtyped based on data-driven approaches.    The cause(s) of cognitive variability in PD are unknown, but genetic determinants have been proposed and genetic associations with PD-dementia have been demonstrated.   The CIHR-funded TWH PD-MCI project, led by Connie Marras, Mario Masellis and Sarah Duff-Canning, is a prospective longitudinal cohort study enrolling non-demented PD patients and assessing their cognitive profile in detail.  Blood has been taken for the evaluation of genetic variants associated with cognition.  The neuropsychological test battery is highly analogous to the ONDRI battery.  The TWH PD-MCI data has been used to explore the heterogeneity of PD-MCI using a data-driven approach and four clusters were identified, described as 'visuospatial,' 'executive', 'executive+visuospatial' and 'global' according to the domains most impaired.   In our funded CIHR grant application we developed specific hypotheses concerning the relationships between these clusters and genetic variants (see Hypotheses, below).  These hypotheses have not been tested; data collection in the TWH PD-MCI project is ongoing, and due to finish later in 2018.  We propose to use the ONDRI cohort as a replication cohort for our findings in the TWH PD-MCI cohort. ","Aims: a.Examine the association between cognitive 'cluster' scores and genotype   b.Examine the association between PD-MCI subtype and genotype    Hypotheses: Specific hypotheses for the ONDRI PD cohort emerging from the existing literature and cognitive clusters found in the TWH cohort are:  1.'Visuospatial' cluster-specific score (i.e. Judgment of Line Orientation (JLO) scores, Visual Object and Space Perception Battery (VOSP) - incomplete letters) will be associated with the BCHE K and atypical variants.  2. Executive' cluster-specific score (i.e. Delis-Kaplan Executive Function System (D-KEFS) - Color-Word Interference and Verbal Fluency; Trail Making Test (TMT) - Part B) will be associated with BCHE K and atypical variants and the COMT Val polymorphism  3.'Executive + Visuospatial' cluster-specific score will be associated with BCHE K and atypical variants.    4.      'Global' cluster-specific score (i.e. DKEFS: Color-Word Interference and Verbal Fluency, TMT, Symbol Digit Modalities Test, JLO, VOSP, Rey Auditory Verbal Learning Test, Brief Visuospatial Memory Test, Digit Span, Boston Naming Test, Test of Adult/Adolescence Word Finding (TAWF): Verb Naming, Boston Diagnostic Aphasia Examination - Semantic Probe) will be associated with APOE4, MAPT H1 and BCHE K or atypical variants.    Specific hypotheses emerging from empirically derived PD-MCI subtypes are:  1. Multidomain PD-MCI will be associated with APOE4, MAPT H1 and BCHE K or atypical variants.   2. Single-domain amnestic PD-MCI will be associated with APOE4 and BCHE K variants  3. Single-domain non-amnestic PD-MCI will be associated with BCHE K and atypical variants and the COMT Val polymorphism  ","Baseline Neuropsychology Platform: Minimum Dataset (NPsych Education; VOSP: Incomplete Letters; BVMT-R; RAVLT; Digit Span; TMT; DKEFS: Color-Word Interference; DKEFS: Verbal Fluency; SDMT; BNT-15; TAWF; JLO; Semantic Probe; WASI-II: Vocab and Matrix Reasoning). The most highly analogous and domain-representative tests from the TWH and ONDRI cohorts will be chosen with the guidance from the Neuropsychology Platform.  Baseline Neuropsychology Platform: Select variables from Full Dataset (ADLs; iADLS; Short-IQ-CODE; NPI-Q)    Baseline demographics, education, PD severity measures.     ","Using a general linear ANCOVA (Analysis of Covariance) model, we will assess the relationship between risk variant status and cognitive performance after adjusting for age, IQ, education, depression and PD duration (years) and severity (UPDRS total scores) as potential confounders.  Logistic regression analyses will be used to assess the relationship between PD-MCI subtype and risk variant status, adjusting again for important confounders",Associations identified between cognitive deficits in patients with PD and genetic variants can help to elucidate the pathophysiology of these deficits and can also reveal potential therapeutic targets.  Examining PD-MCI not as a single entity but as a heterogeneous one allows us to work toward personalized treatment for patients with Parkinson's disease. 
OND20190812MM,Manuel Montero-Odasso,Association between Cognitive Domains and Balance Performance across Neurodegenerative Disorders: Results from the ONDRI ,"Deficits in balance and cognition are highly prevalent in older adults with neurodegenerative disorders (ND), and increase falls risk among these patients. Previous studies suggest that postural control consumes cognitive resources in older adults particularly in ND such as Parkinson's disease (PD), multiple sclerosis (MS) and dementia prodromal including individuals with stroke and mild cognitive impairment (MCI). In these previous studies, the evaluation of cognitive control over balance was often performed during situations where individuals attempted to keep optimum stability while attending to stimuli that require processing in one or more than one cognitive domains (i.e. dual-tasks). These concurrent cognitive tasks place higher attention, executive function and working memory demands; However, the role of specific cognitive domains, particularly beyond the attention/executive construct, has not been previously assessed across ND.  We propose that using neuropsychological indexes would be a robust strategy to better understand the importance of different cognitive resources for motor disability in NDs given its standardization and validation. Therefore, the main aim of this study is to examine associations between specific cognitive domains assessed with standardized neuropsychological assessments for attention, executive function, working memory, visuospatial, and language domains with postural sway across different ND. Based on previous findings on the interaction between cognition and balance impairments, we hypothesize that poor performance in specific cognitive domains would be differentially associated with the increased postural sway across ND. Our sample will include participants with Frontal Temporal Dementia (FTD), Alzheimer Dementia (AD), Parkinson's disease (PD), and Amyotrophic lateral sclerosis (ALS); and dementia prodromal including Mild Cognitive Impairment (MCI) and Vascular Cognitive impairment (VCI).  ",The main aim of this study is to examine associations between construct of cognitive domains and postural sway during different postural and visual feedback conditions.     We hypothesize that common cognitive domains across NDs and NDs prodromal will be associated with balance performance. And this association will show that worse cognitive performance will be associated with larger postural sway particularly during more challenging conditions. ,"Cognitive variables for cognitive domain calculation: SDMT, TMT-A, DST, Stroop-color (measures of attention/working memory); TMT-B, VFT, Stroop-inhibition/switch (measures of executive function); RAVT, BVMT (measures of memory); JLO, VOSP (measures of visuospatial perception); BNT, TAWF, Vocab (measures of language). Center of pressure (COP) amplitude during conditions of wide and narrow-base of support with eyes open and closed will used as dependent variables. ","Univariate linear regression models will be created to test the association between cognitive domains (independent variable) and postural sway (dependent variable) adjusted for covariates (e.g. age, sex, body mass index, education, leg length, calf circumference, assistive device, depression, medications). ",Determining the common cognitive problems associated with balance impairments across ND using standardized neuropsychological tests may accelerate balance intervention outcomes. This knowledge could also be important when designing dual-task protocols aiming assessments and intervention for ND. 
OND20190820JH,Jeff Huang,Altered pupil dynamics in the progression of Parkinson's disease,"In Parkinson's disease (PD), the progressive loss of brain matter from neurodegeneration leads to impairments in autonomic, motor, and cognitive functions. Pupillometry has been increasingly used in clinical investigations to assess cognitive function as the pupil is not only affected by global luminance and arousal, but also modulated by converging bottom-up sensory and top-down cognitive signals. Previous studies have found pupil responses to be modulated by the preparation of voluntary eye movements likely related to the fronto-oculomotor network, and this modulation is disrupted in PD patients with executive function deficits. Subjects performed the interleaved pro-/anti-saccade task as part of the eye tracking platform, in which they were instructed via the colour of a fixation cue to generate either an automatic eye movement toward a peripheral stimulus (pro-saccade) or a voluntary eye movement in the opposite direction (anti-saccade).","Aim: To investigate progression of changes in cognitive-related pupil responses in PD patients  Hypothesis: Modulation of pupil dynamics by saccade preparation is altered by neurodegeneration related to frontal-oculomotor regions, and is affected by disease progression.   ","Longitudinal data of the following variables will be examined:  Variables from the eye tracking, clinical, and neuropsychology platform will be used in our analysis. Measures from the eye tracking platform includes saccade-related measures like Saccadic reaction time and Error rate, as well as pupil-related measures including Baseline pupil size, Pupil response onset latency, Pupil constriction size, Peak constriction time, Pupil constriction velocity, Pupil dilation size, and Pupil dilation velocity. Measures from the clinical platforms includes age, sex, MoCA scores, and disease specific variables such as medication and tests including the modified Hoehn and Yahr scale, and MDS-UPDRS. Measures from the neuropsychology platform includes specific measures that relates to visuospatial skills, attention, and executive cognition.  ",Descriptive statistics and graphical summaries for all variables of interest. pupil and saccade variables will be analyzed for their modulation by task condition. Correlation analysis will be performed between pupil dynamic measures with saccadic performance as well as with clinical scores.,The non-invasive measures of pupil dynamics can serve as biomarkers for autonomic and cognitive deficit in frontal-oculomotor regions in PD disease progression
